burst, startT [s], endT [s], relative startT [s], relative endT [s], cycle period [s], inst burstfreq [Hz], duration [s], dutycycle, interburst interval [s], #spikes , spikefreq in burst [Hz],Time,0 Channel 1
1,1.286216,2.19548,1.286216,2.19548,2.828264,0.353574,0.909264,0.321492,1.919,61,65.987436,1.286216,11.15914
2,4.11448,4.635704,4.11448,4.635704,2.1965,0.45527,0.521224,0.237298,1.675276,32,59.475389,4.11448,10.986328
3,6.31098,7.348092,6.31098,7.348092,2.996428,0.333731,1.037112,0.346116,1.959316,65,61.709825,6.31098,11.018372
4,9.307408,9.767584,9.307408,9.767584,2.128216,0.469877,0.460176,0.216226,1.66804,27,56.500122,9.307408,11.063491
5,11.435624,12.512208,11.435624,12.512208,3.087456,0.323891,1.076584,0.348696,2.010872,73,66.8782,11.435624,11.087928
6,14.52308,14.995652,14.52308,14.995652,2.1195,0.471809,0.472572,0.222964,1.646928,30,61.36631,14.52308,11.096191
7,16.64258,17.6785,16.64258,17.6785,2.959232,0.337926,1.03592,0.350064,1.923312,68,64.676809,16.64258,11.108458
8,19.601812,20.121488,19.601812,20.121488,2.165856,0.461711,0.519676,0.23994,1.64618,29,53.879725,19.601812,11.11587
9,21.767668,22.755824,21.767668,22.755824,2.8961,0.345292,0.988156,0.341202,1.907944,60,59.707172,21.767668,11.124344
10,24.663768,25.166748,24.663768,25.166748,2.22826,0.448781,0.50298,0.225728,1.72528,29,55.668217,24.663768,11.122918
11,26.892028,27.925016,26.892028,27.925016,3.033732,0.329627,1.032988,0.340501,2.000744,62,59.051993,26.892028,11.110781
12,29.92576,30.39294,29.92576,30.39294,2.117008,0.472365,0.46718,0.220679,1.649828,30,62.074575,29.92576,11.104995
13,32.042768,32.993924,32.042768,32.993924,2.818912,0.354747,0.951156,0.33742,1.867756,60,62.029783,32.042768,11.092154
14,34.86168,35.40658,34.86168,35.40658,2.156516,0.463711,0.5449,0.252676,1.611616,32,56.891173,34.86168,11.070721
15,37.018196,38.300628,37.018196,38.300628,3.347592,0.298722,1.282432,0.383091,2.06516,79,60.821938,37.018196,11.052187
16,40.365788,40.839896,40.365788,40.839896,2.103672,0.475359,0.474108,0.225372,1.629564,31,63.276722,40.365788,11.038601
17,42.46946,43.341364,42.46946,43.341364,2.743036,0.36456,0.871904,0.317861,1.871132,54,60.786509,42.46946,11.02289
18,45.212496,46.011552,45.212496,46.011552,2.567904,0.389423,0.799056,0.311171,1.768848,50,61.32236,45.212496,11.003465
19,47.7804,48.527368,47.7804,48.527368,2.54516,0.392903,0.746968,0.293486,1.798192,46,60.243545,47.7804,10.990437
20,50.32556,51.214792,50.32556,51.214792,2.739216,0.365068,0.889232,0.32463,1.849984,57,62.975691,50.32556,10.966551
